DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-10-27;NO5;Husholdning;84918;258768
2025-10-27;NO5;Hytter og fritidseiendommer;27279;49169
2025-10-28;NO1;Husholdning;471743;1117385
2025-10-28;NO1;Hytter og fritidseiendommer;67866;110822
2025-10-28;NO2;Husholdning;356509;630830
2025-10-28;NO2;Hytter og fritidseiendommer;72871;106488
2025-10-28;NO3;Husholdning;737;408363
2025-10-28;NO3;Hytter og fritidseiendommer;826;63022
2025-10-28;NO4;Husholdning;0;245354
2025-10-28;NO4;Hytter og fritidseiendommer;0;44538
2025-10-28;NO5;Husholdning;85437;258790
2025-10-28;NO5;Hytter og fritidseiendommer;27390;49170
2025-10-29;NO1;Husholdning;473564;1117412
2025-10-29;NO1;Hytter og fritidseiendommer;68058;110824
2025-10-29;NO2;Husholdning;357753;630866
2025-10-29;NO2;Hytter og fritidseiendommer;73065;106491
2025-10-29;NO3;Husholdning;755;408357
2025-10-29;NO3;Hytter og fritidseiendommer;850;63024
2025-10-29;NO4;Husholdning;0;245356
2025-10-29;NO4;Hytter og fritidseiendommer;0;44540
2025-10-29;NO5;Husholdning;85904;258796
2025-10-29;NO5;Hytter og fritidseiendommer;27481;49178
2025-10-30;NO1;Husholdning;476057;1117501
2025-10-30;NO1;Hytter og fritidseiendommer;68282;110834
2025-10-30;NO2;Husholdning;359179;630887
2025-10-30;NO2;Hytter og fritidseiendommer;73239;106487
2025-10-30;NO3;Husholdning;772;408376
2025-10-30;NO3;Hytter og fritidseiendommer;865;63028
2025-10-30;NO4;Husholdning;0;245355
2025-10-30;NO4;Hytter og fritidseiendommer;0;44542
2025-10-30;NO5;Husholdning;86571;258804
2025-10-30;NO5;Hytter og fritidseiendommer;27597;49182
2025-10-31;NO1;Husholdning;479062;1117482
2025-10-31;NO1;Hytter og fritidseiendommer;68550;110838
2025-10-31;NO2;Husholdning;360923;630903
2025-10-31;NO2;Hytter og fritidseiendommer;73459;106490
2025-10-31;NO3;Husholdning;785;408392
2025-10-31;NO3;Hytter og fritidseiendommer;883;63030
2025-10-31;NO4;Husholdning;0;245354
2025-10-31;NO4;Hytter og fritidseiendommer;0;44541
2025-10-31;NO5;Husholdning;87254;258813
2025-10-31;NO5;Hytter og fritidseiendommer;27751;49188
2025-11-01;NO1;Husholdning;481051;1117525
2025-11-01;NO1;Hytter og fritidseiendommer;68740;110796
2025-11-01;NO2;Husholdning;362132;630926
2025-11-01;NO2;Hytter og fritidseiendommer;73630;106491
2025-11-01;NO3;Husholdning;790;408437
2025-11-01;NO3;Hytter og fritidseiendommer;890;63027
2025-11-01;NO4;Husholdning;0;245300
2025-11-01;NO4;Hytter og fritidseiendommer;0;44596
2025-11-01;NO5;Husholdning;87753;258839
2025-11-01;NO5;Hytter og fritidseiendommer;27852;49200
2025-11-02;NO1;Husholdning;483024;1117528
2025-11-02;NO1;Hytter og fritidseiendommer;68941;110797
2025-11-02;NO2;Husholdning;363472;630926
2025-11-02;NO2;Hytter og fritidseiendommer;73762;106491
2025-11-02;NO3;Husholdning;794;408434
2025-11-02;NO3;Hytter og fritidseiendommer;894;63027
2025-11-02;NO4;Husholdning;0;245298
2025-11-02;NO4;Hytter og fritidseiendommer;0;44596
2025-11-02;NO5;Husholdning;88336;258841
2025-11-02;NO5;Hytter og fritidseiendommer;27980;49200
2025-11-03;NO1;Husholdning;485461;1117540
2025-11-03;NO1;Hytter og fritidseiendommer;69147;110800
2025-11-03;NO2;Husholdning;364954;630973
2025-11-03;NO2;Hytter og fritidseiendommer;73917;106491
2025-11-03;NO3;Husholdning;797;408439
2025-11-03;NO3;Hytter og fritidseiendommer;897;63028
2025-11-03;NO4;Husholdning;0;245309
2025-11-03;NO4;Hytter og fritidseiendommer;0;44597
2025-11-03;NO5;Husholdning;88980;258867
2025-11-03;NO5;Hytter og fritidseiendommer;28107;49206
2025-11-04;NO1;Husholdning;487840;1117596
2025-11-04;NO1;Hytter og fritidseiendommer;69359;110801
2025-11-04;NO2;Husholdning;366414;630998
2025-11-04;NO2;Hytter og fritidseiendommer;74108;106492
2025-11-04;NO3;Husholdning;800;408447
2025-11-04;NO3;Hytter og fritidseiendommer;904;63031
2025-11-04;NO4;Husholdning;0;245309
2025-11-04;NO4;Hytter og fritidseiendommer;0;44601
2025-11-04;NO5;Husholdning;89544;258869
2025-11-04;NO5;Hytter og fritidseiendommer;28208;49216
2025-11-05;NO1;Husholdning;489793;1117629
2025-11-05;NO1;Hytter og fritidseiendommer;69520;110806
2025-11-05;NO2;Husholdning;367579;631011
2025-11-05;NO2;Hytter og fritidseiendommer;74247;106499
2025-11-05;NO3;Husholdning;806;408464
2025-11-05;NO3;Hytter og fritidseiendommer;907;63031
2025-11-05;NO4;Husholdning;0;245306
2025-11-05;NO4;Hytter og fritidseiendommer;0;44600
2025-11-05;NO5;Husholdning;90111;258878
2025-11-05;NO5;Hytter og fritidseiendommer;28316;49218
2025-11-06;NO1;Husholdning;491895;1117632
2025-11-06;NO1;Hytter og fritidseiendommer;69693;110808
2025-11-06;NO2;Husholdning;368893;631028
2025-11-06;NO2;Hytter og fritidseiendommer;74442;106503
2025-11-06;NO3;Husholdning;817;408509
