start_date,Consumption,NoMeasured,Price,Zone,MeanTemp
2022-01-02 21:00:00+00:00,2500106.385,1065430,1.04693,NO1,1.8478949069976809
2022-01-02 21:00:00+00:00,1327559.238,598516,1.04693,NO2,0.0723062977194786
2022-01-02 21:00:00+00:00,888694.532,387305,0.38926,NO3,-3.131042003631592
2022-01-02 21:00:00+00:00,819025.44,240435,0.38926,NO4,-1.4339807033538818
2022-01-02 21:00:00+00:00,516622.813,251669,1.04693,NO5,-7.434292316436768
2022-01-02 22:00:00+00:00,2355923.77,1065430,1.10037,NO1,1.6728358268737793
2022-01-02 22:00:00+00:00,1245293.348,598516,1.10037,NO2,-0.2228421419858932
2022-01-02 22:00:00+00:00,837222.137,387305,0.32893,NO3,-3.451472759246826
2022-01-02 22:00:00+00:00,792030.259,240435,0.32893,NO4,-1.3519845008850098
2022-01-02 22:00:00+00:00,480856.324,251669,1.10037,NO5,-7.363662719726562
2022-01-02 23:00:00+00:00,2201856.862,1065549,1.25006,NO1,1.668214201927185
2022-01-02 23:00:00+00:00,1146883.87,598556,1.25006,NO2,-0.449579119682312
2022-01-02 23:00:00+00:00,779683.067,387311,0.20893,NO3,-3.65607500076294
2022-01-02 23:00:00+00:00,761172.671,240450,0.20893,NO4,-1.2662242650985718
2022-01-02 23:00:00+00:00,441510.795,251680,1.25006,NO5,-7.283377170562744
2022-01-03 00:00:00+00:00,2101541.955,1065549,1.23426,NO1,1.6690685749053955
2022-01-03 00:00:00+00:00,1087427.169,598556,1.23426,NO2,-0.4710990190505981
2022-01-03 00:00:00+00:00,741499.036,387311,0.19923,NO3,-3.722289085388184
2022-01-03 00:00:00+00:00,734315.455,240450,0.19923,NO4,-1.2028292417526243
2022-01-03 00:00:00+00:00,414618.261,251680,1.23426,NO5,-7.17129373550415
2022-01-03 01:00:00+00:00,2047375.53,1065549,1.22746,NO1,1.7063287496566772
2022-01-03 01:00:00+00:00,1055840.835,598556,1.22746,NO2,-0.4069013297557831
2022-01-03 01:00:00+00:00,721087.505,387311,0.19873,NO3,-3.723352670669556
2022-01-03 01:00:00+00:00,717050.687,240450,0.19873,NO4,-1.2342978715896606
2022-01-03 01:00:00+00:00,399791.955,251680,1.22746,NO5,-7.142298698425293
2022-01-03 02:00:00+00:00,2024954.887,1065549,1.21566,NO1,1.7952022552490234
2022-01-03 02:00:00+00:00,1041055.038,598556,1.21566,NO2,-0.3292379975318908
2022-01-03 02:00:00+00:00,711703.104,387311,0.19823,NO3,-3.825894355773926
2022-01-03 02:00:00+00:00,709812.438,240450,0.19823,NO4,-1.3797624111175537
2022-01-03 02:00:00+00:00,393768.899,251680,1.21566,NO5,-7.128807544708252
2022-01-03 03:00:00+00:00,2020161.709,1065549,1.22226,NO1,1.7409675121307373
2022-01-03 03:00:00+00:00,1036943.109,598556,1.22226,NO2,-0.444825530052185
2022-01-03 03:00:00+00:00,708436.28,387311,0.20263,NO3,-3.964885950088501
2022-01-03 03:00:00+00:00,707982.428,240450,0.20263,NO4,-1.578698992729187
2022-01-03 03:00:00+00:00,391983.673,251680,1.22226,NO5,-7.11790132522583
2022-01-03 04:00:00+00:00,2056020.069,1065549,1.23586,NO1,1.882263660430908
2022-01-03 04:00:00+00:00,1055733.966,598556,1.23586,NO2,-0.5804212093353271
2022-01-03 04:00:00+00:00,720556.025,387311,0.29354,NO3,-3.959721803665161
2022-01-03 04:00:00+00:00,714934.438,240450,0.29354,NO4,-1.8493235111236568
2022-01-03 04:00:00+00:00,398155.06,251680,1.23586,NO5,-7.099215984344482
2022-01-03 05:00:00+00:00,2179993.343,1065549,1.20696,NO1,1.9057908058166504
2022-01-03 05:00:00+00:00,1127717.046,598556,1.20696,NO2,-0.5752308368682861
2022-01-03 05:00:00+00:00,765805.976,387311,0.34935,NO3,-4.165051937103272
2022-01-03 05:00:00+00:00,742674.637,240450,0.34935,NO4,-2.0346927642822266
2022-01-03 05:00:00+00:00,424502.609,251680,1.20696,NO5,-7.07222318649292
2022-01-03 06:00:00+00:00,2331351.203,1065549,1.21016,NO1,2.0518288612365723
2022-01-03 06:00:00+00:00,1207116.138,598556,1.21016,NO2,-0.6196759939193726
2022-01-03 06:00:00+00:00,822259.193,387311,0.34835,NO3,-4.046638488769531
2022-01-03 06:00:00+00:00,777809.227,240450,0.34835,NO4,-2.227809429168701
2022-01-03 06:00:00+00:00,455364.394,251680,1.21016,NO5,-7.095766067504883
2022-01-03 07:00:00+00:00,2388836.566,1065549,1.26616,NO1,2.634550094604492
2022-01-03 07:00:00+00:00,1228043.833,598556,1.26616,NO2,0.2959043681621551
2022-01-03 07:00:00+00:00,834414.014,387311,0.37025,NO3,-3.034039258956909
2022-01-03 07:00:00+00:00,784170.593,240450,0.37025,NO4,-1.694021701812744
2022-01-03 07:00:00+00:00,463474.424,251680,1.26616,NO5,-6.754843235015869
2022-01-03 08:00:00+00:00,2389871.832,1065549,1.32577,NO1,2.770986557006836
2022-01-03 08:00:00+00:00,1231418.692,598556,1.32577,NO2,0.1480996906757354
2022-01-03 08:00:00+00:00,843386.451,387311,0.38765,NO3,-2.85190224647522
2022-01-03 08:00:00+00:00,790037.865,240450,0.38765,NO4,-1.8406226634979248
2022-01-03 08:00:00+00:00,465278.709,251680,1.32577,NO5,-6.752995014190674
2022-01-03 09:00:00+00:00,2388758.005,1065549,1.22986,NO1,2.9677035808563232
2022-01-03 09:00:00+00:00,1238523.514,598556,1.22986,NO2,0.1337679922580719
2022-01-03 09:00:00+00:00,853732.23,387311,0.38815,NO3,-2.428715467453003
2022-01-03 09:00:00+00:00,795911.987,240450,0.38815,NO4,-1.9950370788574217
2022-01-03 09:00:00+00:00,474480.806,251680,1.22986,NO5,-6.808494567871094
2022-01-03 10:00:00+00:00,2396870.715,1065549,1.23146,NO1,3.221014499664306
2022-01-03 10:00:00+00:00,1246971.634,598556,1.23146,NO2,-0.018452962860465
2022-01-03 10:00:00+00:00,865384.333,387311,0.38895,NO3,-1.880821704864502
2022-01-03 10:00:00+00:00,801558.312,240450,0.38895,NO4,-2.181204080581665
2022-01-03 10:00:00+00:00,487967.198,251680,1.23146,NO5,-6.873946666717529
2022-01-03 11:00:00+00:00,2390418.283,1065549,1.23986,NO1,3.304919481277466
2022-01-03 11:00:00+00:00,1245968.416,598556,1.23986,NO2,-0.2919034361839294
2022-01-03 11:00:00+00:00,872343.067,387311,0.38945,NO3,-1.2283519506454468
2022-01-03 11:00:00+00:00,804393.054,240450,0.38945,NO4,-2.2041332721710205
2022-01-03 11:00:00+00:00,498169.059,251680,1.23986,NO5,-6.979105949401856
2022-01-03 12:00:00+00:00,2369848.458,1065549,1.26686,NO1,3.1797921657562256
2022-01-03 12:00:00+00:00,1245956.142,598556,1.26686,NO2,-0.6114935278892517
2022-01-03 12:00:00+00:00,876923.739,387311,0.39925,NO3,-0.6233085989952087
2022-01-03 12:00:00+00:00,808646.532,240450,0.39925,NO4,-2.259529829025269
2022-01-03 12:00:00+00:00,502694.914,251680,1.26686,NO5,-7.073722362518311
2022-01-03 13:00:00+00:00,2379595.2,1065549,1.33767,NO1,2.880330801010132
2022-01-03 13:00:00+00:00,1268972.921,598556,1.33767,NO2,-1.0229694843292236
2022-01-03 13:00:00+00:00,896773.518,387311,0.39945,NO3,-0.2380955070257187
2022-01-03 13:00:00+00:00,821934.828,240450,0.39945,NO4,-2.2272677421569824
